DATE1, DATE2, X, Y, Z,
2456384.166666667, A.D. 2013-Apr-01 16:00:00.0000,  2.828883080603409E+05,  2.872181774565131E+03, -2.139357668220871E+05,
2456384.208333333, A.D. 2013-Apr-01 17:00:00.0000,  2.770070232162293E+05, -9.808250808462057E+03, -2.212995485797229E+05,
2456384.250000000, A.D. 2013-Apr-01 18:00:00.0000,  2.705761242458409E+05, -2.246922551346353E+04, -2.282242353669336E+05,
2456384.291666667, A.D. 2013-Apr-01 19:00:00.0000,  2.636083716528913E+05, -3.508562153326406E+04, -2.346960878306196E+05,
2456384.333333333, A.D. 2013-Apr-01 20:00:00.0000,  2.561175910745467E+05, -4.763240655932302E+04, -2.407022651324461E+05,
2456384.375000000, A.D. 2013-Apr-01 21:00:00.0000,  2.481186458438042E+05, -6.008468644562684E+04, -2.462308504203349E+05,
2456384.416666667, A.D. 2013-Apr-01 22:00:00.0000,  2.396274074937101E+05, -7.241775459766171E+04, -2.512708744664372E+05,
2456384.458333333, A.D. 2013-Apr-01 23:00:00.0000,  2.306607242620203E+05, -8.460714098852139E+04, -2.558123374247875E+05,
2456384.500000000, A.D. 2013-Apr-02 00:00:00.0000,  2.212363876588560E+05, -9.662866070495735E+04, -2.598462286655752E+05,
2456384.541666667, A.D. 2013-Apr-02 01:00:00.0000,  2.113730971637428E+05, -1.084584619271231E+05, -2.633645446467861E+05,
2456384.583333333, A.D. 2013-Apr-02 02:00:00.0000,  2.010904231221169E+05, -1.200730732468977E+05, -2.663603047878593E+05,
2456384.625000000, A.D. 2013-Apr-02 03:00:00.0000,  1.904087679149393E+05, -1.314494502309962E+05, -2.688275653139689E+05,
2456384.666666667, A.D. 2013-Apr-02 04:00:00.0000,  1.793493254784730E+05, -1.425650211365798E+05, -2.707614310435583E+05,
2456384.708333333, A.D. 2013-Apr-02 05:00:00.0000,  1.679340392545322E+05, -1.533977316887677E+05, -2.721580650958355E+05,
2456384.750000000, A.D. 2013-Apr-02 06:00:00.0000,  1.561855586546148E+05, -1.639260888313173E+05, -2.730146964990498E+05,
2456384.791666667, A.D. 2013-Apr-02 07:00:00.0000,  1.441271941242600E+05, -1.741292033637810E+05, -2.733296256845372E+05,
2456384.833333333, A.D. 2013-Apr-02 08:00:00.0000,  1.317828708967386E+05, -1.839868313806573E+05, -2.731022278556957E+05,
2456384.875000000, A.D. 2013-Apr-02 09:00:00.0000,  1.191770815277655E+05, -1.934794144304313E+05, -2.723329542252646E+05,
2456384.916666667, A.D. 2013-Apr-02 10:00:00.0000,  1.063348373053352E+05, -2.025881183149356E+05, -2.710233311184956E+05,
2456384.958333333, A.D. 2013-Apr-02 11:00:00.0000,  9.328161863099528E+04, -2.112948704521584E+05, -2.691759569440265E+05,
2456385.000000000, A.D. 2013-Apr-02 12:00:00.0000,  8.004332447090745E+04, -2.195823957284679E+05, -2.667944970384846E+05,
2456385.041666667, A.D. 2013-Apr-02 13:00:00.0000,  6.664622097688027E+04, -2.274342507692125E+05, -2.638836763950527E+05,
2456385.083333333, A.D. 2013-Apr-02 14:00:00.0000,  5.311688937919721E+04, -2.348348565597858E+05, -2.604492702904130E+05,
